Filename,Preamble Snippet
MARTINMIDSTREAMPARTNERSLP_01_23_2004-EX-10.3-TRANSPORTATION SERVICES AGREEMENT.txt,"EXHIBIT 10.3

TRANSPORTATION SERVICES AGREEMENT

THIS MARINE TRANSPORTATION AGREEMENT (this ""Agreement"") is executed this 23rd day of December, 2003, by and between Martin Operating Partnership L.P., a Delaware limited partnership (""Owner""), and Midstream Fuel Service LLC, an Alabama limited liability company (""Charterer""), in order to evidence the agreement of such parties with respect to Owner's provision of marine transportation services with respect to #2 fuel oil and high sulfur diesel on b"
RUBIOSRESTAURANTSINC_03_31_2008-EX-10.75-SPONSORSHIP AGREEMENT.txt,"2008 Sponsorship Agreement- Renewal Sponsor

Exhibit 10.75   SPONSORSHIP AGREEMENT AGREEMENT SUMMARY

SPONSOR:                         Name: Rubio's Fresh Mexican Grill Phone: 760/602-3611               Address: 1902 Wright Place, Suite 300                     Carlsbad, CA 92008 E-mail: ***               Attn: Lawrence A. Rusinko

SPONSORSHIP BENEFITS:                         San Diego Ballpark Funding LLC (""SDBF"") shall provide Sponsor with the following benefits, subject to the terms of the Ge"
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2.txt,"SCHEDULE B

Customization Schedule

This Customization Schedule is attached to the Software License, Customization and Maintenance Agreement (the ""Agreement"") executed by and between Bank of America, N.A. (""Bank of America"") and <<enter Company Name>> (""Supplier""). The Customizations identified hereunder shall be subject to the terms and conditions of that Software License, Customization and Maintenance Agreement referenced above.

Bank of America wishes to obtain the Customizations herein defin"
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt","EXHIBIT 10.1   Sponsorship Agreement   Parties   This Agreement is effective as of December 1st, 2015 by and between RMF Empire, Inc. DBA West Coast Customs, located at 2101 West Empire Avenue, Burbank, CA 91504 (hereinafter ""WCC""), and Bosch International, LLC / XLI Technologies, Inc. located at 3753 Howard Hughes Parkway, Suite 200 Las Vegas, NV 89169 (hereinafter ""XLI"").   Recitals   A. XLI is engaged in the distribution and marketing of ""Light Sheets"".   B. It is the desire and intention of "
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2.txt,"Exhibit 10.38

EXHIBIT C

Software License Agreement [v.08.05.03]

PLEASE READ THIS SOFTWARE LICENSE AGREEMENT CAREFULLY BEFORE DOWNLOADING, INSTALLING OR USING CISCO OR CISCO- SUPPLIED SOFTWARE.

BY DOWNLOADING OR INSTALLING THE SOFTWARE, OR USING THE EQUIPMENT THAT CONTAINS THIS SOFTWARE, YOU ARE BINDING THE BUSINESS ENTITY THAT YOU REPRESENT (""CUSTOMER"") TO THIS AGREEMENT. IF YOU DO NOT AGREE TO ALL OF THE TERMS OF THIS AGREEMENT, THEN (A) DO NOT DOWNLOAD, INSTALL OR USE THE SOFTWARE, AND (B)"
VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT.txt,"Exhibit 10.24

______________________________________________________________________________

______________________________________________________________________________

OPERATION AND MAINTENANCE AGREEMENT

Dated as of November 3, 2010

______________________________________________________________________________

______________________________________________________________________________

10.23





TABLE OF CONTENTS Page

ARTICLE I : DEFINITIONS1

ARTICLE II : ENGAGEMENT OF OPERATOR5 "
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT.txt,"Exhibit (8)(k)(k)

SERVICE AGREEMENT

This Agreement is entered into and effective as of the 1st day of January, 1998, by and between FIDELITY INVESTMENTS INSTITUTIONAL OPERATIONS COMPANY, INC. (""FIIOC"") and NEW YORK LIFE INSURANCE AND ANNUITY CORPORATION (""Company"").

WHEREAS, FIIOC provides transfer agency and other services to Fidelity's Variable Insurance Products Fund, Variable Insurance Products Fund II and Variable Insurance Products Fund III (collectively ""Funds""); and

WHEREAS, the serv"
STWRESOURCESHOLDINGCORP_08_06_2014-EX-10.1-COOPERATION AGREEMENT.txt,"Exhibit 10.1   COOPERATION AGREEMENT BETWEEN THE CITY OF FORT STOCKTON, TEXAS AND STW RESOURCES HOLDING CORP. REGARDING DEVELOPMENT OF WATER WELL(S) IN THE CAPITAN REEF AQUIFER FORMATION

This AGREEMENT regarding development of water well(s) in the Capitan Reef Aquifer Formation (the ""AGREEMENT"") is entered into by the City of Fort Stockton, Texas, a Texas Type A-General Law city (""COFS"") and STW Resources Holding Corp., a Nevada corporation (""STW""), effective as of the last date of signature on"
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement.txt,"Exhibit 10.34 EVENT SPONSORSHIP AGREEMENT This Event Sponsorship Agreement (""Agreement"") is made and effective as of February 1, 2019 (the ""Effective Date""), by and between Newegg Inc. (""Newegg""), a Delaware corporation, and Allied Esports International, Inc., a Nevada corporation (""Allied""). Newegg and Allied are hereinafter referred to jointly as the ""Parties"" and each as a ""Party."" BACKGROUND A. Newegg, an online retailer of items including computer hardware and consumer electronics, is in th"
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,"Exhibit 4(b)(ii).3

                                                                    [LOGO] sicap

                        Maintenance and support contract                               for SICAP(R) modules                                 PPB, VCA and OTA

                              dated 10 October 2000

    This contract replaces in full the Annex 7 ""Maintenance and Support for         SICAP(R) modules PPB, VCA and OTA and Sun Hardware"" which was an            integral part of the origin"
ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT.txt,"Exhibit 10.1

Redactions with respect to certain portions hereof denoted with ""***""

COLLABORATION AGREEMENT

This Collaboration Agreement (the ""Agreement"") is made as of April 14th, 2020 (the ""Effective Date"") by and between Anixa Biosciences, Inc., a Delaware corporation, located at 3150 Almaden Expressway, Suite 250, San Jose, CA 95118, U.S.A. (""Anixa""), and OntoChem GmbH, a German limited liability company, located at Blücherstr. 24, D-06120 Halle (Saale), Germany (""OntoChem""). Anixa and Ont"
"ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION AGREEMENT.txt","Exhibit 10.1

COOPERATION AGREEMENT

This Cooperation Agreement (""Agreement"") is entered into as of July 1, 2020, by and between e.l.f. Beauty, Inc., a Delaware corporation (the ""Company""), and Marathon Partners Equity Management, LLC (""Marathon Partners""), Marathon Partners L.P., Marathon Focus Fund L.P., Marathon Partners LUX Fund, L.P., Cibelli Research & Management, LLC and Mario Cibelli (collectively, the ""Marathon Parties"") (each of the Company, on the one hand, and the Marathon Parties, o"
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.txt,"Exhibit 10.18 Confidential EXECUTION COPY

CERTAIN CONFIDENTIAL INFORMATION CONTAINED IN THIS DOCUMENT, MARKED BY [***], HAS BEEN OMITTED BECAUSE IT IS BOTH NOT MATERIAL AND WOULD BE COMPETITIVELY HARMFUL IF PUBLICLY DISCLOSED.

DEVELOPMENT AND OPTION AGREEMENT

between

HARPOON THERAPEUTICS, INC.

and

ABBVIE BIOTECHNOLOGY LTD

Dated as of November 20, 2019

Source: HARPOON THERAPEUTICS, INC., 10-K, 3/12/2020





TABLE OF CONTENTS

ARTICLE 1 DEFINITIONS 1

ARTICLE 2 COLLABORATION MANAGEMENT

1"
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.txt,"DIGITAL CINEMA DESTINATIONS CORP.     NETWORK AFFILIATE AGREEMENT     THIS NETWORK AFFILIATE AGREEMENT (this ""Agreement"") is made as of this 14th day of March, 2011 by and between National CineMedia,  LLC, a Delaware limited liability company (""NCM""), and Digital Cinema Destinations Corp., a Delaware corporation (""Network Affiliate"" and with  NCM, each a ""Party"" and collectively, the ""Parties"").     BACKGROUND     WHEREAS, NCM operates a ""Digital Content Network"" of proprietary and third-party h"
VERTICALNETINC_04_01_2002-EX-10.19-MAINTENANCE AND SUPPORT AGREEMENT.txt,"EXHIBIT 10.19

                        MAINTENANCE AND SUPPORT AGREEMENT

      This Maintenance and Support Agreement (this ""Agreement"") is entered on this 9th day of October, 2001 and is deemed effective as of October 1, 2001 (the ""Effective Date""), by and between VerticalNet, Inc. (""VNI"") and VerticalNet Enterprises LLC, formerly known as Tradeum, Inc. which d/b/a VerticalNet Solutions (""VNE""; collectively with VNI, ""Vert""), on the one hand, and Converge, Inc. (""Converge"") on the other hand.
"
TcPipelinesLp_20160226_10-K_EX-99.12_9454048_EX-99.12_Transportation Agreement.txt,"QuickLinks -- Click here to rapidly navigate through this document

Exhibit 99.12

TRANSPORTATION SERVICE AGREEMENT Contract Identification FT18150

This Transportation Service Agreement (Agreement) is entered into by Great Lakes Gas Transmission Limited Partnership (Transporter) and ANR PIPELINE COMPANY (Shipper).

WHEREAS, Shipper has requested Transporter to transport Gas on its behalf and Transporter represents that it is willing to transport Gas under the terms and conditions of this Agreem"
HUBEIMINKANGPHARMACEUTICALLTD_09_19_2006-EX-10.1-OUTSOURCING AGREEMENT.txt,"PHOTO RETOUCHING OUTSOURCING AGREEMENT

Between: DGT Corp. Suite 207 - 1130 Austin Avenue, Coquitlam, British Columbia, Canada V3K 3P5 (hereinafter referred to as ""DGT"")

And: Dolphin Industries Limited Room 1302 Golden Gate Commercial Bldg 136 Austin Road Tsimshatsui, Hong Kong (hereinafter referred to as ""Dolphin"")

WHEREAS:

DGT is an internet provider of professional digital photo-editing services for photography studios and digital photo processors.

Both parties are desirous of entering in"
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3.txt,"SCHEDULE TO Software License, Customization and Maintenance Agreement    Supplier Name:  Cardlytics, Inc.  Agreement Number:  CW251207

Supplier Address:



621 North Avenue NE Suite C-30 Atlanta, GA 30308

Addendum Number:



CW255039

Supplier Telephone:  888.798.5802  Addendum Effective Date  March 3, 2011

This Schedule (""Schedule"") is made as of the effective date set forth above to that Software License, Customization, and Maintenance Agreement, by and between Cardlytics, Inc. (""Supplier"")"
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.txt,"Exhibit 10.31    PURSUANT TO 17 C.F.R. § 240.24B-2, CONFIDENTIAL INFORMATION (INDICATED BY {*****}) HAS BEEN OMITTED FROM THIS  DOCUMENT AND HAS BEEN FILED SEPARATELY WITH THE SECURITIES AND EXCHANGE COMMISSION PURSUANT TO A  CONFIDENTIAL TREATMENT APPLICATION FILED WITH THE COMMISSION     ACCURAY INCORPORATED  MULTIPLE LINAC AND MULTI-MODALITY   DISTRIBUTOR AGREEMENT     This Multiple LINAC and Multi-Modality Distributor Agreement (""Agreement"") is entered into by and between ACCURAY  INCORPORAT"
"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT.txt","EXHIBIT 10.1

PROMOTION AGREEMENT

This Promotion Agreement (""Agreement"")  is entered into as of February 3, 2010 (""Effective Date"")  by and between  MiddleBrook Pharmaceuticals, Inc. (""MBRK"") ,  a Delaware corporation with offices at 7 Village Circle, Suite 100,  Westlake, TX 76262 and DoctorDirectory.com, Inc.  (""DD"") ,  a South Carolina Corporation, with offices at One Page  Avenue, Suite 280, Asheville, NC 28801.

WHEREAS DD provides advertising, promotion and marketing services to pharmaceu"
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement.txt,"Exhibit 10.5

Note: Portions of this exhibit indicated by""[*]"" are subject to a confidential treatment request, and have been omitted from this exhibit. Complete, unredacted copies of this exhibit have been filed with the Securities and Exchange Commission as part of this Company's confidential treatment request.

Distributor Agreement                              ---------------------

This Distributor Agreement (the ""Agreement"") is made effective as of the 31st day of March, 2000 (the ""Effecti"
ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement.txt,"Exhibit 10.1   JACKSONVILLE JAGUARS SPONSORSHIP AGREEMENT   This Sponsorship Agreement (this ""Agreement"") is entered into as of November 27, 2017 (the ""Execution Date"") by and between Jacksonville Jaguars, LLC, a Delaware limited liability company (""Club""), and The ARC Group, Inc., a Florida corporation (owner and operator of Dick's Wings and Grill) (""Sponsor""). This Agreement consists of this Sponsorship Agreement and Exhibits A and B hereto, each of which is incorporated into and forms a part "
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement.txt,"Exhibit 10.1 CERTAIN CONFIDENTIAL PORTIONS OF THIS EXHIBIT HAVE BEEN OMITTED AND REPLACED WITH ""[***]"". SUCH IDENTIFIED INFORMATION HAS BEEN EXCLUDED FROM THIS EXHIBIT BECAUSE IT IS (I) NOT MATERIAL AND (II) WOULD LIKELY CAUSE COMPETITIVE HARM TO THE COMPANY IF DISCLOSED. Execution Version Network Build and Maintenance Agreement Between Commnet Wireless, LLC And AT&T Mobility LLC

Source: ATN INTERNATIONAL, INC., 10-Q, 11/8/2019





Mobility Network General Agreement TABLE OF CONTENTS Page 1.1 "
"SightLife Surgical, Inc. - STRATEGIC SALES _ MARKETING AGREEMENT.txt","EXHIBIT 10.1   STRATEGIC SALES & MARKETING AGREEMENT   THIS STRATEGIC SALES & MARKETING AGREEMENT (the ""Agreement"") is effective as of the last date provided for on the signature page and is entered into by and between SightLife Surgical, Inc., a Delaware corporation, having its principal place of business at 1200 6th Ave, Ste. 300, Seattle, WA 98101 (""Surgical"") and Imprimis Pharmaceuticals, Inc., a Delaware corporation, and its subsidiaries, having its principal place of business at 12264 El C"
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement.txt,"Exhibit 10.9 TURN - KEY MANUFACTURING AGREEMENT This Turn - Key Manufacturing Agreement (the ""Agreement"") is effective as of the 1.4.2011 (the ""Effective Date"") by and between: INVASIX LTD., with a principal place of business at Tavor Building, Shaar Yokneam, POB 533, Yokneam 20692, Israel. Hereinafter referred to as ""Customer"" And FLEXTRONICS ISRAEL LTD. with a principal place of business at Industrial Zone Migdal Haemek 23108 P.O.B. 867, Israel. Hereinafter referred to as ""Contractor."" Whereas"
GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT.txt,"EXHIBIT 10.6    TRANSPORTATION CONTRACT  SPECIFIC CONDITIONS









   PURPOSE

  ECONOMIC CONDITIONS

  CONTRACTED CAPACITY



   POINTS OF ENTRANCE AND EXIT     MANSOYÁ - TUMACO



Date Bogota D.C. January 30, 2012

Contract No. VIT-005-2012

SENDER SOLANA PETROLEUM EXPLORATION  COLOMBIA LIMITED

TAX ID 830.051.027-8

SHIPPER ECOPETROL S.A.   TAX ID 899.999.068-1

T Y P E  O F   CRUDE  OWN PRODUCTION x  PROPERTY

Transportation Service of liquid hydrocarbons through the ""Trasandino"" Pipeline"
"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT.txt","Exhibit 10.1 NON-COMPETITION AGREEMENT AMENDMENT NO. 1   This NON-COMPETITION AGREEMENT AMENDMENT NO. 1 (this ""Amendment"") is entered into as of August 16, 2017, by and between VIVINT SOLAR, INC., a Delaware corporation (together with its successors and permitted assigns, ""Vivint Solar""), and VIVINT, INC., a Utah corporation (together with its successors and permitted assigns ""Vivint""). Each of Vivint Solar and Vivint may also be referred to herein individually as a ""Party"", and collectively as "
FUSIONPHARMACEUTICALSINC_06_05_2020-EX-10.17-Supply Agreement - FUSION.txt,"Exhibit 10.17

Supply Agreement - FUSION

CERTAIN CONFIDENTIAL PORTIONS OF THIS EXHIBIT HAVE BEEN OMITTED AND REPLACED WITH ""[***]"". SUCH IDENTIFIED INFORMATION HAS BEEN EXCLUDED FROM THIS EXHIBIT BECAUSE IT IS (I) NOT MATERIAL AND (II) WOULD LIKELY CAUSE COMPETITIVE HARM TO THE COMPANY IF DISCLOSED.

SUPPLY AGREEMENT (""Supply Agreement"") effective as of the date of last signing (""Effective Date"") between Centre for Probe Development and Commercialization, a not-for-profit research and services "
CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement.txt,"Exhibit 4.72

Confidential

(Translation, for reference only)

Strategic Alliance Agreement

This Strategic Alliance Agreement (""Agreement"") is executed on this 11th day of December, 2015 (""Execution Date"") by and between ChipMOS TECHNOLOGIES INC., a company incorporated under the laws of Taiwan (""ChipMOS""), and Tsinghua Unigroup Ltd. (""Tsinghua Unigroup""), a company incorporated under the laws of the People's Republic of China (""PRC""). ChipMOS and Tsinghua Unigroup shall collectively be referre"
URSCORPNEW_03_17_2014-EX-99-COOPERATION AGREEMENT.txt,"EXHIBIT B

COOPERATION AGREEMENT

This Agreement dated March 13, 2014 is by and between JANA Partners LLC (""JANA"") and URS Corporation (the ""Company""). In consideration of and reliance upon the mutual covenants and agreements contained herein, and for other good and valuable consideration, the receipt and sufficiency of which is hereby acknowledged, the parties hereto agree as follows:

1. Representations and Warranties of the Company. The Company represents and warrants to JANA that this Agreem"
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.txt,"Exhibit 10.6 EXECUTION COPY MEDIA LICENSE AGREEMENT THIS MEDIA LICENSE AGREEMENT (this ""Agreement"") is made and effective as of the date of the Closing (as defined in the Merger Agreement (as defined below)) (the ""Effective Date""), between NATIONAL FOOTBALL MUSEUM, INC., an Ohio non-profit corporation, doing business as Pro Football Hall of Fame (""PFHOF""), HOF Village Media Group, LLC (the ""Village Media Company""), a Delaware limited liability company that is a wholly-owned subsidiary of HOF Vil"
SalesforcecomInc_20171122_10-Q_EX-10.1_10961535_EX-10.1_Reseller Agreement.txt,"Exhibit 10.1

FORM OF SUB-RESELLER AGREEMENT

Signature Page

Reseller Full Legal Name Salesforce.org, a nonprofit public benefit corporation having its principal place of business at 50 Fremont Street, Suite 300, San Francisco, California 94105

This Form of Sub-Reseller Agreement (this ""Sub-Reseller Agreement"") is made and entered in by and between salesforce.com, inc., a Delaware corporation having its principal place of business at The Landmark @ One Market, Suite 300, San Francisco, Califor"
SLINGERBAGINC_05_27_2020-EX-10.7-CONSULTING AGREEMENT.txt,"Exhibit 10.7 CONSULTING AGREEMENT THIS AGREEMENT made this 30th day of April (the ""Effective Date"") between Slinger Bag Inc., a Nevada company (the ""Company"") and Aitan Zacharin, an individual residing in Bet Shemesh, Israel (the ""Consultant"") A. The Company is engaging Consultant as a consultant in respect of investor relations, corporate structure, public relations and commercial development. B. The Company and the Consultant wish to formally record the terms and conditions of such engagement."
RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.txt,"Exhibit 10.54 DISTRIBUTION AND DEVELOPMENT AGREEMENT This Distribution and Development Agreement (this ""Agreement"") is made and entered into as of May 1, 2016 by and between Sekisui Diagnostics, LLC and its Affiliates, a Delaware limited liability company with principal offices at 4 Hartwell Place, Lexington, Massachusetts 02421 (""Sekisui""), and Qualigen, Inc. and its Affiliates, a Delaware corporation with principal offices at 2042 Corte Del Nogal, Carlsbad, California 92011 (""Qualigen"" and tog"
IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT.txt,"Exhibit 1

Execution Copy

JOINT VENTURE AGREEMENT

BETWEEN

TATE & LYLE FERMENTATION PRODUCTS LTD.

AND

IGENE BIOTECHNOLOGY, INC.

Table of Contents

1.

2.

DEFINITIONS

CREATION OF THE JOINT VENTURE AND ITS STRUCTURE

Page

1

4

3.

4.

PARTIES' CONTRIBUTIONS TO THE JOINT VENTURE AND FINANCING

PARTIES' INTERESTS IN THE JOINT VENTURE

4

6

5.

6.

[INTENTIONALLY OMITTED]

TAX CONSIDERATIONS

6

6

7.

8.

PARTIES' WITHDRAWAL FROM THE FIELD OF AGREEMENT

FUTURE PRODUCTS AND DEVELOPMENTS

8
"
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT.txt,"Exhibit 10.13   TRANSPORTATION AGREEMENT   BETWEEN   ENERGY XXI GULF COAST, INC.   AND   ENERGY XXI USA, INC.   DATED EFFECTIVE AS OF   March 11, 2015









  TRANSPORTATION AGREEMENT   TABLE OF CONTENTS   ARTICLE 1 DEFINITIONS AND INTERPRETATION 1     ARTICLE 2 NOMINATIONS AND TRANSPORTATION 3     ARTICLE 3 RATES AND CHARGES 4     ARTICLE 4 QUALITY AND PRESSURE SPECIFICATIONS 5     ARTICLE 5 OFFSHORE PLATFORM FACILITIES AND OPERATING PROCEDURES 6     ARTICLE 6 GRAVITY BANK 8     ARTICLE 7 ME"
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.txt,"Exhibit 10.1 Certain information identified by bracketed asterisks ([ * * * ]) has been omitted from this exhibit because it is both not material and would be competitively harmful if publicly disclosed. EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT THIS EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT (this ""Agreement"") is entered into as of June 12, 2019 (the ""Execution Date"") by and between Eton Pharmaceuticals, Inc., a Delaware corporation with offices at 21925 W. Field Pkwy, Suite "
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1.txt,"Exhibit 10.38

IN ACCORDANCE WITH ITEM 601(b) OF REGULATION S-K, CERTAIN IDENTIFIED INFORMATION (THE ""CONFIDENTIAL INFORMATION"") HAS BEEN EXCLUDED FROM THIS EXHIBIT BECAUSE IT IS BOTH (I) NOT MATERIAL AND (II) WOULD LIKELY CAUSE COMPETITIVE HARM IF PUBLICLY DISCLOSED. THE CONFIDENTIAL INFORMATION IS DENOTED HEREIN BY [*****].

CISCO SYSTEMS, INC. NONEXCLUSIVE VALUE ADDED DISTRIBUTOR AGREEMENT

This Nonexclusive Value Added Distributor Agreement (""Agreement""), between ScanSource, Inc., a South Ca"
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1.txt,"Exhibit 10.16

[***] = CERTAIN CONFIDENTIAL INFORMATION CONTAINED IN THIS DOCUMENT, MARKED BY BRACKETS, HAS BEEN OMITTED AND FILED SEPARATELY WITH THE SECURITIES AND EXCHANGE COMMISSION PURSUANT TO RULE 406 OF THE SECURITIES ACT OF 1933, AS AMENDED.

 Software License, Customization and Maintenance Agreement     Agreement Number:  CW251207

Effective Date:  11/4/10

Company Name:  Cardlytics, Inc.

Company Address:  621 North Avenue NE  Suite C-30  Atlanta, GA 30308

Company Telephone:  888.798."
"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.txt","CONFIDENTIAL TREATMENT REQUEST * Portions denoted with an asterisk have been omitted and filed separately with   the Securities and Exchange Commission pursuant to a request for confidential   treatment.                                                                    EXHIBIT 10.16

                              DISTRIBUTOR AGREEMENT                                      BETWEEN                                   INGRAM MICRO                                        AND                            "
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.txt,"ENDORSEMENT AGREEMENT

THIS ENDORSEMENT AGREEMENT (the ""Agreement"") is dated as of this 14th day of November 2017 (""Effective Date""), by and between Eco Science Solutions, Inc. (""ESSI""), a Nevada corporation, and Stephen Marley (""Talent""), an individual.

AGREEMENT

1. Engagement. ESSI engages Talent and Talent hereby accepts the engagement to act as a Spokesperson for ESSI, and to provide his endorsement of all ESSI products and services, domestically and worldwide.

2. Term of Agreement. The t"
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT.txt,"EXHIBIT 10.2

                    SITE DEVELOPMENT AND HOSTING AGREEMENT

                  This SITE DEVELOPMENT AND HOSTING AGREEMENT (the ""Agreement"") dated as of August 9, 1999 is made between Hanover Direct, Inc. (""HDI""), a New Jersey Corporation, located at 1500 Harbor Boulevard, Weehawken, NJ 07087, and The Deerskin Companies, Inc. (the ""Company""), a Nevada corporation, located at 2500 Arrowhead Drive, Carson City, NV 89706. Each of the parties hereto shall be referred to as a ""Party"".

 "
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.txt,"Exhibit 10.9

                           CONTENT LICENSING AGREEMENT

                                     between

                          Data Call Technologies, Inc.                              600 Kenrick, Suite B-12                               Houston, Texas 77060

                      hereinafter referred to as ""Licensor""

                                       and

                                 PLAN_B MEDIA AG                                  Schaafenstr. 25                      "
JINGWEIINTERNATIONALLTD_10_04_2007-EX-10.7-INTELLECTUAL PROPERTY AGREEMENT.txt,"INTELLECTUAL PROPERTY AGREEMENT

This Intellectual Property Agreement (this ""Agreement"") is entered into in ShenZhen on February 08, 2007 between the following two parties:

Party A: JingWei HengTong Technology (ShenZhen) Co., Ltd. (经纬恒通科技（深圳）有限公司 )  Registration Address: Room 1605 B,Tianan Hi-tech Plaza Tower A,Tian An Cyber Park,Futian District,Shenzhen,China

Party B: ShenZhen JingWei Communication Co., Ltd.(深圳经纬通信技术有限公司) Registration Address: Tianxiang Building Block A 13th, Tian An Cyber Pa"
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,"Exhibit 28 (h) (1) (a) under Form N‐1A Exhibit 99 under item 601/REG. S‐K

SERVICES AGREEMENT

THIS AGREEMENT, dated and effective as of January 1, 2004 (this ""Agreement"") between FEDERATED INVESTMENT MANAGEMENT COMPANY, a Delaware statutory trust (the ""Adviser""), and FEDERATED ADVISORY SERVICES COMPANY, a Delaware statutory trust (""FASC""),

WITNESSETH:

WHEREAS, the Adviser serves pursuant to advisory or subadvisory agreements (""Advisory Agreements"") as investment advisor or subadvisor to inves"
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,"Exhibit 10.28

                              ENDORSEMENT AGREEMENT

            This Endorsement Agreement (""Agreement"") is made and entered into as of August 24, 1995, by and among the following parties:

                  (a) Kathy Ireland, Inc. (""KI Inc.""), furnishing the services       of Kathy Ireland (""KI""), c/o The Sterling/Winters Co., 1900 Avenue of the       Stars, Suite #1640, Los Angeles, California 90067;

                  (b) The Sterling/Winters Co. (""SW""), 1900 Avenue of the Sta"
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT.txt,"FRANCHISE AGREEMENT                                                   TABLE OF CONTENTS

1.       INTRODUCTION AND DEFINITIONS.......................................1          1.A.     INTRODUCTION..............................................1          1.B.     DEFINITIONS...............................................3

2.       GRANT OF FRANCHISE RIGHTS..........................................7          2.A.     GRANT OF FRANCHISE........................................7          2.B.     PR"
PalmerSquareCapitalBdcInc_20200116_10-12GA_EX-10.6_11949289_EX-10.6_Trademark License Agreement.txt,"Exhibit 10.6 TRADEMARK LICENSE AGREEMENT This TRADEMARK LICENSE AGREEMENT (this ""Agreement"") is made and effective as of [ ] day of [ ], 2020 (""Effective Date""), by and between Palmer Square Capital Management LLC, a Delaware limited liability company (the ""Licensor""), and Palmer Square Capital BDC Inc., a corporation organized under the laws of the State of Maryland (the ""Licensee"") (each a ""party,"" and collectively, the ""parties""). RECITALS WHEREAS, Licensee is a newly organized, externally ma"
LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT.txt,"EXHIBIT 10.9    DISTRIBUTOR AGREEMENT     This Distributor Agreement (the 'Agreement') dated [*] is between     Lucid Inc., a New York corporation, having a principal place of business at 2320 Brighton Henrietta T/L Road, Rochester NY 14623 And [*]  ('Distributor')     For good and valuable consideration, the parties hereby agree:     1. Appointment     A) Lucid appoints the Distributor and the Distributor accepts appointment as an exclusive authorized Lucid Distributor. The Distributor will be "
